type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
PA	NATL1A	33	3	7.09E+07	1.27E+07	7.32E+06	3.15E+07	NATL1A_PA_33	Bac	NATL1A_PA	8.102575896	0.026975387	0.015574247	0.067010577
PA	NATL1A	36	3	1.53E+08	1.06E+07	6.12E+06	2.64E+07	NATL1A_PA_36	Bac	NATL1A_PA	8.342121248	0.012202337	0.008628355	0.109633645
PA	NATL1A	42	3	1.27E+08	7.78E+06	4.49E+06	1.93E+07	NATL1A_PA_42	Bac	NATL1A_PA				
PA	NATL1A	45	2	2.20E+08	6.18E+06	4.37E+06	5.55E+07	NATL1A_PA_45	Bac	NATL1A_PA				
PAC	NATL1A	0	3	4.96E+06	1.14E+06	6.58E+05	2.83E+06	NATL1A_PAC_0	Bac	NATL1A_PAC	6.688581769	0.095749262	0.055280862	0.237854352
PAC	NATL1A	3	3	2.02E+06	1.82E+06	1.05E+06	4.52E+06	NATL1A_PAC_3	Bac	NATL1A_PAC	6.05760031	0.687021021	0.396651772	1.706654828
PAC	NATL1A	6	3	1.36E+07	2.98E+05	1.72E+05	7.41E+05	NATL1A_PAC_6	Bac	NATL1A_PAC	7.133046072	0.009567578	0.005523843	0.02376718
PAC	NATL1A	9	3	1.44E+07	1.49E+06	8.61E+05	3.70E+06	NATL1A_PAC_9	Bac	NATL1A_PAC	7.156672408	0.045954879	0.026532062	0.114158249
PAC	NATL1A	12	3	1.50E+07	6.51E+05	3.76E+05	1.62E+06	NATL1A_PAC_12	Bac	NATL1A_PAC	7.175804453	0.018618575	0.010749439	0.046251105
PAC	NATL1A	14	3	1.39E+07	1.07E+06	6.15E+05	2.65E+06	NATL1A_PAC_14	Bac	NATL1A_PAC	7.141120009	0.034102533	0.019689107	0.084715388
PAC	NATL1A	18	3	1.45E+07	6.17E+05	3.56E+05	1.53E+06	NATL1A_PAC_18	Bac	NATL1A_PAC	7.160691373	0.018715006	0.010805114	0.046490653
PAC	NATL1A	21	3	1.36E+07	6.16E+05	3.56E+05	1.53E+06	NATL1A_PAC_21	Bac	NATL1A_PAC	7.132742804	0.019616615	0.011325658	0.048730372
PAC	NATL1A	24	3	1.32E+07	6.57E+05	3.79E+05	1.63E+06	NATL1A_PAC_24	Bac	NATL1A_PAC	7.12029131	0.021426199	0.012370422	0.053225629
PAC	NATL1A	30	3	1.26E+07	1.76E+06	1.02E+06	4.37E+06	NATL1A_PAC_30	Bac	NATL1A_PAC	7.096134055	0.060035614	0.034661578	0.149136734
PAC	NATL1A	33	3	1.17E+07	1.90E+06	1.10E+06	4.72E+06	NATL1A_PAC_33	Bac	NATL1A_PAC	7.063445169	0.074446115	0.042981484	0.184934401
PAC	NATL1A	36	3	1.34E+07	4.65E+05	2.69E+05	1.16E+06	NATL1A_PAC_36	Bac	NATL1A_PAC	7.126009163	0.015212695	0.008783053	0.037790429
PAC	NATL1A	42	3	-7.89E+05	2.07E+07	1.20E+07	5.14E+07	NATL1A_PAC_42	Bac	NATL1A_PAC	6.444762211	1.189013336	0.840759393	10.68286098
PAC	NATL1A	45	3	1.42E+07	1.87E+07	1.08E+07	4.65E+07	NATL1A_PAC_45	Bac	NATL1A_PAC	7.350834254	0.222434247	0.157284765	1.99849242
PAC	NATL1A	48	3	4.47E+07	7.42E+06	4.28E+06	1.84E+07	NATL1A_PAC_48	Bac	NATL1A_PAC	7.646178361	0.074988867	0.043294843	0.186282672
PAC	NATL1A	51	3	5.82E+07	5.84E+06	3.37E+06	1.45E+07	NATL1A_PAC_51	Bac	NATL1A_PAC	7.763179823	0.043250826	0.024970876	0.107441007
