sample.id	Name	Title	Time	Type	Name2	Name1	Name3	name	X0	pro	total	bac	ph	pl	pt	Pro	Total	Bac	Ph	Pl	Pt	time	type	pro_type	vbr	vbr2	type.1	hooh	type1
X60	P33_3	PAC	18	PAC_3	3	P_3	P33	33-N6	225	604994.2437	15548684.21	14943689.97	1999034.102	21590382.57	23589416.67	5.781751242	7.191693643	7.174457849	6.300820203	7.334260338	7.372717202	18	PAC	NATL1A	38.99114235	1.590965959	NATL1A_PAC	5.180220328	PAC
X67	P41_3	PR	18	PR_3	3	P_1	P41	41-N6	226	233246468.8	187617836.3	-45628632.58	394551.0744	42623656.07	43018207.14	8.367815078	8.273274123	#NUM!	5.59610323	7.629650699	7.633652306	18	PR	NATL1A	-0.942789751	0	NATL1A_PR	4.971590842	PR
X74	P42_3	PR	18	PR_3	3	P_2	P42	42-N6	227	207655336.6	190630117	-17025219.6	439219.1362	45032161.99	45471381.13	8.317343097	8.280191514	#NUM!	5.642681254	7.653522798	7.657738145	18	PR	NATL1A	-2.67082494	0	NATL1A_PR	5.513139045	PR
X81	P43_3	PR	18	PR_3	3	P_3	P43	43-N6	228	233329288	201970467.8	-31358820.2	0	48110951.01	48110951.01	8.367969256	8.305287871	#NUM!	#NUM!	7.682243942	7.682243942	18	PR	NATL1A	-1.534207942	0	NATL1A_PR	5.251242935	PR
X88	P51_3	PA	18	PA_3	3	P_1	P51	51-N6	229	238436471.9	150171052.6	-88265419.3	NA	NA	NA	8.377372687	8.176586225	#NUM!	#NUM!	#NUM!	#NUM!	18	PA	NATL1A	NA	#NUM!	NATL1A_PA	5.632989941	PA
X95	P52_3	PA	18	PA_3	3	P_2	P52	52-N6	230	212569275.7	148458187.1	-64111088.53	NA	NA	NA	8.327500493	8.171604153	#NUM!	#NUM!	#NUM!	#NUM!	18	PA	NATL1A	NA	#NUM!	NATL1A_PA	5.699573552	PA
X102	P53_3	PA	18	PA_3	3	P_3	P53	53-N6	231	238353652.7	172408771.9	-65944880.81	NA	NA	NA	8.377221812	8.236559358	#NUM!	#NUM!	#NUM!	#NUM!	18	PA	NATL1A	NA	#NUM!	NATL1A_PA	5.113636056	PA
X109	P61_3	PAR	18	PAR_3	3	P_1	P61	61-N6	232	216047682	116061403.5	-99986278.48	769912.4126	51736892.05	52506804.46	8.334549611	8.064687818	#NUM!	5.886441321	7.713800336	7.720215588	18	PAR	NATL1A	-0.525140102	0	NATL1A_PAR	5.060369431	PAR
X116	P62_3	PAR	18	PAR_3	3	P_2	P62	62-N6	233	214584542.8	109948245.6	-104636297.2	899728.2	49680910.2	50580638.4	8.331598435	8.041188304	#NUM!	5.954111333	7.696189544	7.703984306	18	PAR	NATL1A	-0.483394766	0	NATL1A_PAR	5.56640633	PAR
X123	P63_3	PAR	18	PAR_3	3	P_3	P63	63-N6	234	221651781.1	122233625.7	-99418155.35	626246.8212	47479237.15	48105483.97	8.345671225	8.087190694	#NUM!	5.796745534	7.676503733	7.682194588	18	PAR	NATL1A	-0.483870213	0	NATL1A_PAR	5.46874975	PAR
X5	P11_4	P	30	P_4	4	P_1	P11	11-N9	325	198103522.4	295912280.7	97808758.34	NA	NA	NA	8.296892198	8.471162989	7.990377746	#NUM!	#NUM!	#NUM!	30	P	NATL1A	NA	#NUM!	NATL1A_P	5.769016812	P
X12	P12_4	P	30	P_4	4	P_2	P12	12-N9	326	237580673.6	281382456.1	43801782.59	NA	NA	NA	8.375811109	8.449297016	7.641491785	#NUM!	#NUM!	#NUM!	30	P	NATL1A	NA	#NUM!	NATL1A_P	5.72459712	P
X19	P13_4	P	30	P_4	4	P_3	P13	13-N9	327	203238312.7	286476754.4	83238441.73	NA	NA	NA	8.308005581	8.457089388	7.920323941	#NUM!	#NUM!	#NUM!	30	P	NATL1A	NA	#NUM!	NATL1A_P	5.791227071	P
X26	P21_4	PC	30	PC_4	4	P_1	P21	21-N9	328	7512253.415	12802192.98	5289939.568	1106794.371	11419920.6	12526714.97	6.87577023	7.10728437	6.723450711	6.044066942	7.057663084	7.097837196	30	PC	NATL1A	1.667504313	0.222066966	NATL1A_PC	6.457523268	PC
X33	P22_4	PC	30	PC_4	4	P_2	P22	22-N9	329	7726479.074	14361491.23	6635012.154	1643381.1	14897540.4	16540921.5	6.887981633	7.157199537	6.821841723	6.215738288	7.173114572	7.218559701	30	PC	NATL1A	2.14080972	0.330578068	NATL1A_PC	6.268739373	PC
X40	P23_4	PC	30	PC_4	4	P_3	P23	23-N9	330	5538947.983	14154766.08	8615818.099	1301518.602	15227156.61	16528675.21	6.743427287	7.150902697	6.935296521	6.11445038	7.182618814	7.218238046	30	PC	NATL1A	2.984082042	0.474810759	NATL1A_PC	6.474180963	PC
X47	P31_4	PAC	30	PAC_4	4	P_1	P31	31-N9	331	10919987.36	21914342.11	10994354.74	4020943.714	16059312.84	20080256.55	7.038222136	7.340728437	7.041169746	6.604327994	7.205726958	7.302769257	30	PAC	NATL1A	1.838853461	0.264547122	NATL1A_PAC	5.796779636	PAC
X54	P32_4	PAC	30	PAC_4	4	P_2	P32	32-N9	332	9660031.291	21878903.51	12218872.22	2573712.3	20170437.3	22744149.6	6.984978533	7.340025553	7.087031123	6.410559998	7.304715314	7.356869703	30	PAC	NATL1A	2.354459206	0.37189117	NATL1A_PAC	6.046640917	PAC
X61	P33_4	PAC	30	PAC_4	4	P_3	P33	33-N9	333	4945962.523	19407061.4	14461098.88	2421805.515	17806675.81	20228481.33	6.694250821	7.28795978	7.160201296	6.384139264	7.250582852	7.305963279	30	PAC	NATL1A	4.089897818	0.611712458	NATL1A_PAC	6.185452555	PAC
X68	P41_4	PR	30	PR_4	4	P_1	P41	41-N9	334	207544911	235533771.9	27988860.96	6120.6	43431777.6	43437898.2	8.317112089	8.372053187	7.446985225	3.786793998	7.637807605	7.637868803	30	PR	NATL1A	1.551970916	0.190883578	NATL1A_PR	6.257634244	PR
X75	P42_4	PR	30	PR_4	4	P_2	P42	42-N9	335	177343510	235976754.4	58633244.4	0	52537356.54	52537356.54	8.2488153	8.372869224	7.768143926	#NUM!	7.720468217	7.720468217	30	PR	NATL1A	0.896033591	-0.047675709	NATL1A_PR	6.557467781	PR
X82	P43_4	PR	30	PR_4	4	P_3	P43	43-N9	336	198876501.5	248690350.9	49813849.34	6090.149254	45377702.09	45383792.24	8.298583472	8.395658935	7.697350103	3.784627936	7.6568425	7.656900782	30	PR	NATL1A	0.911067762	-0.04044932	NATL1A_PR	6.585230605	PR
X89	P51_4	PA	30	PA_4	4	P_1	P51	51-N9	337	216655022.8	329844736.8	113189714.1	NA	NA	NA	8.335768762	8.518309559	8.053806963	#NUM!	#NUM!	#NUM!	30	PA	NATL1A	NA	#NUM!	NATL1A_PA	6.252082506	PA
X96	P52_4	PA	30	PA_4	4	P_2	P52	52-N9	338	230292584.1	372592543.9	142299959.8	NA	NA	NA	8.362279953	8.57123416	8.153204777	#NUM!	#NUM!	#NUM!	30	PA	NATL1A	NA	#NUM!	NATL1A_PA	6.707384549	PA
X103	P53_4	PA	30	PA_4	4	P_3	P53	53-N9	339	209256507.7	355714912.3	146458404.6	NA	NA	NA	8.320678973	8.551102072	8.165714299	#NUM!	#NUM!	#NUM!	30	PA	NATL1A	NA	#NUM!	NATL1A_PA	6.457523268	PA
X110	P61_4	PAR	30	PAR_4	4	P_1	P61	61-N9	340	269328032.9	334806140.4	65478107.45	0	65809180.03	65809180.03	8.430281559	8.524793414	7.816096118	#NUM!	7.81828648	7.81828648	30	PAR	NATL1A	1.005056233	0.002190361	NATL1A_PAR	6.235424812	PAR
X117	P62_4	PAR	30	PAR_4	4	P_2	P62	62-N9	341	252598554.8	343444298.2	90845743.4	0	54960448.33	54960448.33	8.402430862	8.535856311	7.958304583	#NUM!	7.740050267	7.740050267	30	PAR	NATL1A	0.6049865	-0.218254316	NATL1A_PAR	6.585230605	PAR
X124	P63_4	PAR	30	PAR_4	4	P_3	P63	63-N9	342	147031683.4	330332017.5	183300334.1	12210.67332	55857725.09	55869935.76	8.16741093	8.51895067	8.263163257	4.086739612	7.747083244	7.747178172	30	PAR	NATL1A	0.304799967	-0.515985085	NATL1A_PAR	6.401999275	PAR
X6	P11_5	P	42	P_5	5	P_1	P11	11-N12	433	262039943.5	347475438.6	85435495.14	NA	NA	NA	8.418367497	8.540924112	7.931638341	#NUM!	#NUM!	#NUM!	42	P	NATL1A	NA	#NUM!	NATL1A_P	6.32394202	P
X13	P12_5	P	42	P_5	5	P_2	P12	12-N12	434	226372475.4	327541228.1	101168752.7	NA	NA	NA	8.35482362	8.515265973	8.005046396	#NUM!	#NUM!	#NUM!	42	P	NATL1A	NA	#NUM!	NATL1A_P	6.702036949	P
X20	P13_5	P	42	P_5	5	P_3	P13	13-N12	435	221927845.1	349070175.4	127142330.4	NA	NA	NA	8.346211796	8.542912744	8.104290167	#NUM!	#NUM!	#NUM!	42	P	NATL1A	NA	#NUM!	NATL1A_P	6.830100788	P
X27	P21_5	PC	42	PC_5	5	P_1	P21	21-N12	436	102005645.9	95263377.19	-6742268.726	4892413.156	74886862.72	79779275.88	8.00862421	7.978925974	#NUM!	6.689523125	7.874405637	7.90189009	42	PC	NATL1A	0.782106472	-0.10673412	NATL1A_PC	7.202098218	PC
X34	P22_5	PC	42	PC_5	5	P_2	P22	22-N12	437	118873156	137324561.4	18451405.43	4069537.038	73740499.97	77810037	8.075083793	8.137748221	7.266029452	6.609545006	7.867706078	7.891035622	42	PC	NATL1A	0.654563567	-0.184048171	NATL1A_PC	6.232467719	PC
